Product,Price (INR),Rating
"Vivo U10 (Thunder Black, 32 GB)",10990.0,5
"Vivo U10 (Thunder Black, 32 GB)",10990.0,5
"Vivo U10 (Thunder Black, 32 GB)",10990.0,5
"Vivo U10 (Thunder Black, 32 GB)",10990.0,5
"Vivo U10 (Thunder Black, 32 GB)",10990.0,5
"Vivo U10 (Thunder Black, 32 GB)",10990.0,5
"Vivo U10 (Thunder Black, 32 GB)",10990.0,5
"Vivo U10 (Thunder Black, 32 GB)",10990.0,4
"Vivo U10 (Thunder Black, 32 GB)",10990.0,5
"Vivo U10 (Thunder Black, 32 GB)",10990.0,5
"Vivo U10 (Thunder Black, 32 GB)",10990.0,No Rating
"Vivo U10 (Electric Blue, 32 GB)",10990.0,5
"Vivo U10 (Electric Blue, 32 GB)",10990.0,5
"Vivo U10 (Electric Blue, 32 GB)",10990.0,5
"Vivo U10 (Electric Blue, 32 GB)",10990.0,5
"Vivo U10 (Electric Blue, 32 GB)",10990.0,5
"Vivo U10 (Electric Blue, 32 GB)",10990.0,5
"Vivo U10 (Electric Blue, 32 GB)",10990.0,5
"Vivo U10 (Electric Blue, 32 GB)",10990.0,4
"Vivo U10 (Electric Blue, 32 GB)",10990.0,5
"Vivo U10 (Electric Blue, 32 GB)",10990.0,5
"Vivo U10 (Electric Blue, 32 GB)",10990.0,No Rating
"Vivo Y12 (Aqua Blue, 64 GB)",11999.0,5
"Vivo Y12 (Aqua Blue, 64 GB)",11999.0,5
"Vivo Y12 (Aqua Blue, 64 GB)",11999.0,5
"Vivo Y12 (Aqua Blue, 64 GB)",11999.0,5
"Vivo Y12 (Aqua Blue, 64 GB)",11999.0,4
"Vivo Y12 (Aqua Blue, 64 GB)",11999.0,5
"Vivo Y12 (Aqua Blue, 64 GB)",11999.0,4
"Vivo Y12 (Aqua Blue, 64 GB)",11999.0,5
"Vivo Y12 (Aqua Blue, 64 GB)",11999.0,4
"Vivo Y12 (Aqua Blue, 64 GB)",11999.0,5
"Vivo Y12 (Aqua Blue, 64 GB)",11999.0,No Rating
"Vivo Y15 (Aqua Blue, 64 GB)",8990.0,4
"Vivo Y15 (Aqua Blue, 64 GB)",8990.0,5
"Vivo Y15 (Aqua Blue, 64 GB)",8990.0,3
"Vivo Y15 (Aqua Blue, 64 GB)",8990.0,5
"Vivo Y15 (Aqua Blue, 64 GB)",8990.0,5
"Vivo Y15 (Aqua Blue, 64 GB)",8990.0,5
"Vivo Y15 (Aqua Blue, 64 GB)",8990.0,5
"Vivo Y15 (Aqua Blue, 64 GB)",8990.0,5
"Vivo Y15 (Aqua Blue, 64 GB)",8990.0,5
"Vivo Y15 (Aqua Blue, 64 GB)",8990.0,4
"Vivo Y15 (Aqua Blue, 64 GB)",8990.0,No Rating
